S.No.,Rule,Support,Lift,Confidence
1631,ETHNIC  , DAIRY PRODUCTS,0.011,1.692,0.5
1632,PAPER PRODUCTS  , BARS,0.011,3.666,0.13
1633,PREPARED FOODS  , FRUIT & VEGETABLES,0.022,9.777,1
1634,BBS  , BARS,0.022,3.666,0.13
1635,DAIRY PRODUCTS  , BARS,0.011,1.128,0.04
1636,LAUNDRY DETERGENTS & SUPPLIES  , BULK GOOD CANDY,0.011,3.666,0.13
1637,FIRST AID  , PAPER PRODUCTS,0.011,11,1
1638,BEVERAGES  , CONDIMENTS,0.034,5.279,0.3
1639,BAKING NUTS  , CONDIMENTS,0.011,2.933,0.17
1640,BEVERAGES  , SPICES,0.011,2.588,0.06
1641,FRUITS & VEGETABLES  , VITAMIN/SUPPLEMENTS,0.011,4.4,0.2
1642,SALTY SNACKS  , CANNED FISH AND MEAT,0.011,4.888,0.17
1643,PREPARED  , PREPARED FOODS,0.011,11,0.25
1644,PAPER PRODUCTS  , PREPARED FOODS,0.022,5.5,0.25
1645,FRUITS & VEGETABLES  , MEAT - PROTEIN,0.011,4.4,0.2
1646,JUICES  , SALTY SNACKS,0.011,7.333,0.5
1647,DAIRY PRODUCTS  , PREPARED FOODS,0.045,3.384,0.15
1648,BEVERAGES  , BARS,0.034,8.8,0.3
1649,VEND ITEMS  , SOUPS,0.011,44,0.5
1650,FOAM/PLASTIC/CATERING  , WATER FILTRATION,0.011,22,0.25
1651,LAUNDRY DETERGENTS & SUPPLIES  , ETHNIC,0.011,11,0.13
1652,WOMENS BASICS  , CANNED FISH AND MEAT,0.011,29.333,1
1653,PAPER PRODUCTS  , LAUNDRY DETERGENTS & SUPPLIES,0.022,2.75,0.25
1654,SALTY SNACKS  , CHEESE,0.034,6.285,0.5
1655,PRODUCE  , ALL SEASONAL SUNDRIES ITEMS,0.011,3.142,0.04
1656,PREPARED FOODS  , PAPER PRODUCTS,0.022,5.5,0.5
1657,LIQUOR  , LIQUOR,0.011,88,1
1658,BBS  , BEVERAGES,0.056,2.75,0.31
1659,DAIRY PRODUCTS  , BEVERAGES,0.056,1.692,0.19
1660,BAKERY  , WRAPS,0.011,5.5,0.13
1661,BBS  , DAIRY PRODUCTS,0.125,2.326,0.69
1662,FRUIT & VEGETABLES  , SALTY SNACKS,0.034,4.888,0.33
1663,COFFEE/SWEETENERS  , CHEESE,0.011,12.571,1
1664,PREPARED  , PREPARED,0.045,22,1
1665,FLOOR WINES  , MEATS,0.011,7.333,0.33
1666,WATER FILTRATION  , BAGS,0.011,44,1
1667,MEATS  , FRUITS & VEGETABLES,0.022,7.04,0.4
1668,CANNED FISH AND MEAT  , PASTA & SAUCES,0.011,14.666,0.33
1669,BEVERAGES  , MEAT - PROTEIN,0.022,2.588,0.12
1670,CHEESE  , PRODUCE,0.068,2.693,0.86
1671,VEND ITEMS  , PREPARED FOODS,0.022,22,1
1672,BEVERAGES  , DESSERTS,0.011,5.176,0.06
1673,DAIRY PRODUCTS  , PASTA & SAUCES,0.022,3.384,0.08
1674,TICKETING  , CEREAL,0.011,8.8,1
1675,BBS  , ANTACID/LAXATIVE/DIETARY AID,0.034,4.125,0.19
1676,DRINK MIXES  , CEREAL,0.011,2.2,0.25
1677,SPICES  , CHEESE,0.011,6.285,0.5
1678,DRINK MIXES  , DRINK MIXES,0.045,22,1
1679,MEAT - PROTEIN  , BEVERAGES,0.022,2.588,0.5
1680,CANNED FISH AND MEAT  , FRUIT & VEGETABLES,0.022,6.518,0.67
1681,FINE WINE  , ORAL CARE,0.011,7.333,0.33
1682,CHEESE  , FLOOR WINES,0.011,4.19,0.14
1683,FRUIT SNACKS  , BULK GOOD CANDY,0.011,9.777,0.33
1684,CHEESE  , WRAPS,0.011,6.285,0.14
1685,PREPARED FOODS  , PREPARED FOODS,0.011,11,0.25
1686,LIQUOR  , SALTY SNACKS,0.011,14.666,1
1687,DISH DETERGENTS & SUPPLIES  , LAUNDRY DETERGENTS & SUPPLIES,0.034,8.25,0.75
1688,DRINK MIXES  , VEND ITEMS,0.011,11,0.25
1689,CHEMICALS  , BAKERY,0.022,5.5,0.5
1690,CEREAL  , BEVERAGES,0.011,0.88,0.1
1691,ORAL CARE  , OUTDOOR WIRELESS & PLUG-IN,0.011,22,0.25
1692,PERSONAL WASH  , SPREADS/SYRUP/HONEY,0.011,11,0.5
1693,FRUIT SNACKS  , JUICES,0.011,14.666,0.33
1694,SOUPS  , VEND ITEMS,0.011,44,1
1695,BAKING NUTS  , WOMENS BASICS,0.011,14.666,0.17
1696,CANNED FISH AND MEAT  , MEAT - PROTEIN,0.011,7.333,0.33
1697,ORAL CARE  , CEREAL,0.011,2.2,0.25
1698,BEVERAGES  , BEVERAGES,0.113,8.8,1
1699,FRUITS & VEGETABLES  , PRODUCE,0.034,1.885,0.6
1700,MEATS  , DESSERTS,0.011,17.6,0.2
1701,DRINK MIXES  , CANNED FISH AND MEAT,0.011,7.333,0.25
1702,JUICES  , DESSERTS,0.011,44,0.5
1703,MEATS  , SALES,0.011,2.444,0.25
1704,PAPER PRODUCTS  , LIQUOR,0.011,11,0.13
1705,MEAT - PROTEIN  , OIL,0.011,7.333,0.25
1706,HANGING APPAREL  , BATTERIES,0.011,44,0.5
1707,BAKERY  , PERSONAL WASH,0.011,5.5,0.13
1708,CHEESE  , SPREADS/SYRUP/HONEY,0.022,6.285,0.29
1709,CANNED FISH AND MEAT  , CANNED FISH AND MEAT,0.034,29.333,1
1710,SALTY SNACKS  , BEVERAGES,0.034,2.588,0.5
1711,BEVERAGES  , PET SUPPLIES,0.011,1.257,0.1
1712,CHEESE  , BBS,0.045,3.142,0.57
1713,CHEESE  , MEATS,0.011,3.142,0.14
1714,SALTY SNACKS  , PRODUCE,0.068,3.142,1
1715,DIAPERS  , WRAPS,0.011,22,0.5
1716,SPREADS/SYRUP/HONEY  , ALL HANGING APPAREL,0.022,8.8,0.5
1717,DAIRY PRODUCTS  , VITAMIN/SUPPLEMENTS,0.034,2.538,0.12
1718,BEVERAGES  , DESSERTS,0.011,8.8,0.1
1719,OIL  , BBS,0.022,3.666,0.67
1720,DAIRY PRODUCTS  , BEVERAGES,0.113,1.99,0.38
1721,BARS  , CONDIMENTS,0.011,5.866,0.33
1722,SALES  , PREPARED FOODS,0.011,4.888,0.11
1723,BEVERAGES  , MEATS,0.011,1.294,0.06
1724,LIQUOR  , BEER,0.011,44,1
1725,KITCHEN MISC.  , FINE WINE,0.011,14.666,0.5
1726,BAKERY  , SOUPS,0.011,11,0.13
1727,JUICES  , BARS,0.011,14.666,0.5
1728,PRODUCE  , JUICES,0.022,3.142,0.07
1729,BEER  , BAKERY,0.022,11,1
1730,BBS  , MEAT,0.011,1.833,0.06
1731,FRUIT SNACKS  , SPICES,0.011,14.666,0.33
1732,BASICS  , BASICS,0.011,88,1
1733,BARS  , CHEESE,0.011,4.19,0.33
1734,CONDIMENTS  , VEND ITEMS,0.022,17.6,0.4
1735,SPREADS/SYRUP/HONEY  , CEREAL,0.034,6.6,0.75
1736,CHEMICALS  , ANTACID/LAXATIVE/DIETARY AID,0.011,5.5,0.25
1737,RICE/BEANS/PASTA  , WRAPS,0.011,8.8,0.2
1738,CANNED FISH AND MEAT  , CONDIMENTS,0.011,5.866,0.33
1739,CONDIMENTS  , PAPER PRODUCTS,0.034,6.6,0.6
1740,CONDIMENTS  , WATER FILTRATION,0.011,17.6,0.2
1741,BAKING NUTS  , BASICS,0.011,14.666,0.17
1742,PET SUPPLIES  , DAIRY PRODUCTS,0.056,2.417,0.71
1743,SOUPS  , CHEESE,0.011,12.571,1
1744,DAIRY PRODUCTS  , PAPER PRODUCTS,0.056,2.115,0.19
1745,SPREADS/SYRUP/HONEY  , DRINK MIXES,0.011,5.5,0.25
1746,CEREAL  , MINTS/GUM,0.011,8.8,0.1
1747,BEER  , SALES,0.011,4.888,0.5
1748,BATTERIES  , ORAL CARE,0.011,22,1
1749,LAUNDRY DETERGENTS & SUPPLIES  , BBS,0.022,1.375,0.25
1750,BASICS  , BEVERAGES,0.011,8.8,1
1751,SOUPS  , WRAPS,0.011,44,1
1752,FRUIT & VEGETABLES  , BEER,0.011,4.888,0.11
1753,ANTI-PERS/DEODORANT  , MEATS,0.011,17.6,1
1754,VITAMIN/SUPPLEMENTS  , RICE/BEANS/PASTA,0.011,4.4,0.25
1755,PRODUCE  , DAIRY PRODUCTS,0.227,2.417,0.71
1756,PAPER PRODUCTS  , DIET / NUTRITION,0.011,11,0.13
1757,PREPARED FOODS  , OIL,0.011,7.333,0.25
1758,PREPARED FOODS  , VITAMIN/SUPPLEMENTS,0.011,5.5,0.25
1759,PRODUCE  , OUTDOOR WIRELESS & PLUG-IN,0.011,3.142,0.04
1760,BAKERY  , CHEESE,0.034,4.714,0.38
1761,OIL  , BAKERY,0.011,3.666,0.33
1762,DRINK MIXES  , PREPARED,0.011,5.5,0.25
1763,LAUNDRY DETERGENTS & SUPPLIES  , WATER FILTRATION,0.011,11,0.13
1764,PREPARED  , BEER,0.011,11,0.25
1765,PAPER PRODUCTS  , BAGS,0.011,5.5,0.13
1766,CEREAL  , ETHNIC,0.011,4.4,0.1
1767,SPICES  , SPICES,0.022,44,1
1768,DIET / NUTRITION  , HANGING APPAREL,0.011,44,1
1769,BEER  , LIQUOR,0.011,44,0.5
1770,CHEESE  , SPICES,0.011,6.285,0.14
1771,FRUIT SNACKS  , FRUIT & VEGETABLES,0.022,6.518,0.67
1772,CEREAL  , SPREADS/SYRUP/HONEY,0.034,6.6,0.3
1773,RICE/BEANS/PASTA  , LAUNDRY DETERGENTS & SUPPLIES,0.011,2.2,0.2
1774,BAKING NUTS  , DISH DETERGENTS & SUPPLIES,0.011,3.666,0.17
1775,CANNED FISH AND MEAT  , HAIR CARE,0.022,14.666,0.67
1776,SAUCES  , VEND ITEMS,0.011,22,0.5
1777,CANNED FISH AND MEAT  , OIL,0.011,9.777,0.33
1778,PREPARED  , OIL,0.011,7.333,0.25
1779,CONDIMENTS  , FRUITS & VEGETABLES,0.022,7.04,0.4
1780,BEVERAGES  , BATTERIES,0.011,8.8,0.1
1781,VEND ITEMS  , CANNED FISH AND MEAT,0.011,14.666,0.5
1782,ALL HANGING APPAREL  , SPREADS/SYRUP/HONEY,0.022,8.8,0.4
1783,ETHNIC  , ETHNIC,0.022,44,1
1784,BBS  , PAPER PRODUCTS,0.045,2.75,0.25
1785,MEATS  , DAIRY PRODUCTS,0.022,1.692,0.5
1786,FOAM/PLASTIC/CATERING  , PREPARED,0.011,5.5,0.25
1787,FOAM/PLASTIC/CATERING  , BAKING NUTS,0.022,7.333,0.5
1788,BEVERAGES  , LAUNDRY DETERGENTS & SUPPLIES,0.022,2.2,0.2
1789,FRUIT & VEGETABLES  , SPREADS/SYRUP/HONEY,0.022,4.888,0.22
1790,FRUITS & VEGETABLES  , HAIR CARE,0.022,8.8,0.4
1791,LIQUOR  , FRUIT SNACKS,0.011,29.333,1
1792,CANNED FISH AND MEAT  , MEAT,0.011,9.777,0.33
1793,PERSONAL WASH  , SALTY SNACKS,0.011,7.333,0.5
1794,ANTACID/LAXATIVE/DIETARY AID  , SAUCES,0.011,11,0.25
1795,FRUITS & VEGETABLES  , DRINK MIXES,0.011,4.4,0.2
1796,PASTA & SAUCES  , MEAT - PROTEIN,0.011,11,0.5
1797,PAPER PRODUCTS  , SALTY SNACKS,0.034,5.5,0.38
1798,PREPARED FOODS  , RICE/BEANS/PASTA,0.011,8.8,0.5
1799,SPREADS/SYRUP/HONEY  , ETHNIC,0.011,22,0.25
1800,SALES  , MINTS/GUM,0.011,9.777,0.11
1801,MINTS/GUM  , SALES,0.011,9.777,1
1802,PASTA & SAUCES  , CONDIMENTS,0.022,17.6,1
1803,PAPER PRODUCTS  , DISH DETERGENTS & SUPPLIES,0.022,5.5,0.25
1804,BARS  , BAKERY,0.011,3.666,0.33
1805,CHEESE  , MEAT - PROTEIN,0.011,3.142,0.14
1806,FIRST AID  , PRODUCE,0.011,3.142,1
1807,PRODUCE  , BODY MOISTURIZERS,0.011,3.142,0.04
1808,LIQUOR  , PERSONAL WASH,0.011,44,1
1809,HAIR CARE  , DRINK MIXES,0.011,5.5,0.25
1810,PREPARED FOODS  , CHEESE,0.022,6.285,0.5
1811,DAIRY PRODUCTS  , CONDIMENTS,0.034,2.03,0.12
1812,BAKERY  , FOAM/PLASTIC/CATERING,0.011,2.75,0.13
1813,SPAS/POOLS/CHEMICALS  , CHEESE,0.011,12.571,1
1814,RICE/BEANS/PASTA  , DAIRY PRODUCTS,0.045,2.707,0.8
1815,DRINK MIXES  , FRUIT & VEGETABLES,0.022,4.888,0.5
1816,BULK GOOD CANDY  , CONDIMENTS,0.011,5.866,0.33
1817,PRODUCE  , BATTERIES,0.011,3.142,0.04
1818,RICE/BEANS/PASTA  , CHEESE,0.034,7.542,0.6
1819,PASTA & SAUCES  , PET SUPPLIES,0.011,6.285,0.5
1820,CANNED FISH AND MEAT  , BEVERAGES,0.011,1.725,0.33
1821,BULK GOOD CANDY  , FRUIT & VEGETABLES,0.022,6.518,0.67
1822,MEATS  , FLOOR WINES,0.011,7.333,0.25
1823,RICE/BEANS/PASTA  , MEATS,0.022,7.04,0.4
1824,BAKING NUTS  , SALTY SNACKS,0.011,2.444,0.17
1825,FRUITS & VEGETABLES  , SALES,0.022,3.911,0.4
1826,SAUCES  , HAIR CARE,0.011,11,0.5
1827,SPAS/POOLS/CHEMICALS  , PET SUPPLIES,0.011,12.571,1
1828,CANNED FISH AND MEAT  , SALTY SNACKS,0.011,4.888,0.33
1829,FOAM/PLASTIC/CATERING  , LAUNDRY DETERGENTS & SUPPLIES,0.011,2.75,0.25
1830,PREPARED FOODS  , PREPARED FOODS,0.011,11,0.5
1831,FRUITS & VEGETABLES  , LAUNDRY DETERGENTS & SUPPLIES,0.034,6.6,0.6
1832,TICKETING  , HAIR CARE,0.011,22,1
1833,ANTACID/LAXATIVE/DIETARY AID  , VITAMIN/SUPPLEMENTS,0.011,5.5,0.25
1834,DIET / NUTRITION  , PAPER PRODUCTS,0.011,11,1
1835,MEAT  , RICE/BEANS/PASTA,0.011,5.866,0.33
1836,OUTDOOR WIRELESS & PLUG-IN  , HANGING APPAREL,0.011,44,1
1837,BULK GOOD CANDY  , SPREADS/SYRUP/HONEY,0.011,7.333,0.33
1838,PRODUCE  , VITAMIN/SUPPLEMENTS,0.045,3.142,0.14
1839,VEND ITEMS  , CONDIMENTS,0.022,17.6,1
1840,PRODUCE  , SPAS/POOLS/CHEMICALS,0.011,3.142,0.04
1841,FRUITS & VEGETABLES  , WRAPS,0.011,8.8,0.2
1842,DAIRY PRODUCTS  , FLOOR WINES,0.022,2.256,0.08
1843,OIL  , CEREAL,0.022,5.866,0.67
1844,PREPARED  , JUICES,0.011,11,0.25
1845,PREPARED FOODS  , FRUITS & VEGETABLES,0.022,8.8,0.5
1846,DISH DETERGENTS & SUPPLIES  , DAIRY PRODUCTS,0.022,1.692,0.5
1847,FINE WINE  , BEVERAGES,0.011,1.725,0.33
1848,CEREAL  , SALTY SNACKS,0.034,4.4,0.3
1849,WATER FILTRATION  , PRODUCE,0.011,3.142,1
1850,ORAL CARE  , FINE WINE,0.011,7.333,0.25
1851,PREPARED  , MEAT - PROTEIN,0.011,5.5,0.25
1852,BULK GOOD CANDY  , BARS,0.011,9.777,0.33
1853,ORAL CARE  , CHEMICALS,0.011,5.5,0.25
1854,MEAT  , FRUITS & VEGETABLES,0.011,5.866,0.33
1855,SPREADS/SYRUP/HONEY  , PRODUCE,0.034,2.357,0.75
1856,DRINK MIXES  , OIL,0.022,14.666,0.5
1857,PET SUPPLIES  , MEATS,0.011,3.142,0.14
1858,MEATS  , FOAM/PLASTIC/CATERING,0.011,5.5,0.25
1859,HANGING APPAREL  , DAIRY PRODUCTS,0.011,1.692,0.5
1860,LAUNDRY DETERGENTS & SUPPLIES  , BAKING NUTS,0.022,3.666,0.25
1861,CHEMICALS  , VITAMIN/SUPPLEMENTS,0.011,5.5,0.25
1862,PET SUPPLIES  , PASTA & SAUCES,0.011,6.285,0.14
1863,PASTA & SAUCES  , RICE/BEANS/PASTA,0.022,17.6,1
1864,PREPARED FOODS  , CONDIMENTS,0.022,8.8,0.5
1865,FIRST AID  , WRAPS,0.011,44,1
1866,BAKING NUTS  , BEVERAGES,0.034,2.588,0.5
1867,PREPARED  , DESSERTS,0.011,22,0.25
1868,PREPARED FOODS  , BEVERAGES,0.011,2.2,0.25
1869,CONDIMENTS  , FIRST AID,0.011,17.6,0.2
1870,SALTY SNACKS  , RICE/BEANS/PASTA,0.034,8.8,0.5
1871,ANTI-PERS/DEODORANT  , PAPER PRODUCTS,0.011,11,1
1872,MEAT - PROTEIN  , PREPARED FOODS,0.011,5.5,0.25
1873,BARS  , BULK GOOD CANDY,0.011,9.777,0.33
1874,BBS  , BAKING NUTS,0.022,1.833,0.13
1875,BAGS  , DISH DETERGENTS & SUPPLIES,0.011,11,0.5
1876,DISH DETERGENTS & SUPPLIES  , FOAM/PLASTIC/CATERING,0.022,11,0.5
1877,PERSONAL WASH  , BAKERY,0.011,5.5,0.5
1878,BARS  , PRODUCE,0.034,3.142,1
1879,BAKING NUTS  , VITAMIN/SUPPLEMENTS,0.011,3.666,0.17
1880,CEREAL  , ALL SEASONAL SUNDRIES ITEMS,0.011,8.8,0.1
1881,WIPES  , BEVERAGES,0.011,1.725,0.33
1882,BEVERAGES  , SALES,0.011,0.977,0.1
1883,BEVERAGES  , WIPES,0.011,1.725,0.06
1884,PAPER PRODUCTS  , RICE/BEANS/PASTA,0.034,6.6,0.38
1885,BAKERY  , DRINK MIXES,0.022,5.5,0.25
1886,JUICES  , BAKERY,0.022,11,1
1887,FLOOR WINES  , TOPICAL APPLICATIONS,0.011,29.333,0.33
1888,ANTI-PERS/DEODORANT  , BEVERAGES,0.011,8.8,1
1889,DISH DETERGENTS & SUPPLIES  , CHEESE,0.011,3.142,0.25
1890,HAIR CARE  , MEATS,0.022,11,0.5
1891,PERSONAL WASH  , ANTI-PERS/DEODORANT,0.011,44,0.5
1892,SPREADS/SYRUP/HONEY  , SAUCES,0.011,11,0.25
1893,BARS  , LIQUOR,0.011,29.333,0.33
1894,BAKING NUTS  , CANNED FISH AND MEAT,0.011,4.888,0.17
1895,ANTACID/LAXATIVE/DIETARY AID  , CHEESE,0.034,9.428,0.75
1896,BEVERAGES  , BODY MOISTURIZERS,0.011,8.8,0.1
1897,LIQUOR  , FOAM/PLASTIC/CATERING,0.011,22,1
1898,ANTACID/LAXATIVE/DIETARY AID  , BAKERY,0.022,5.5,0.5
1899,BAKERY  , PASTA & SAUCES,0.022,11,0.25
1900,ANTI-PERS/DEODORANT  , BARS,0.011,29.333,1
1901,BEVERAGES  , LIQUOR,0.011,5.176,0.06
1902,BBS  , LIQUOR,0.011,5.5,0.06
1903,VEND ITEMS  , BEVERAGES,0.011,4.4,0.5
1904,OIL  , PREPARED FOODS,0.011,14.666,0.33
1905,DRINK MIXES  , BEVERAGES,0.022,2.588,0.5
1906,FRUITS & VEGETABLES  , SOUPS,0.011,17.6,0.2
1907,SPAS/POOLS/CHEMICALS  , PRODUCE,0.011,3.142,1
1908,PASTA & SAUCES  , BEVERAGES,0.011,4.4,0.5
1909,BEER  , BEVERAGES,0.011,2.588,0.5
1910,BARS  , ANTI-PERS/DEODORANT,0.011,29.333,0.33
1911,BAKERY  , PET SUPPLIES,0.022,3.142,0.25
1912,BEVERAGES  , ALL HANGING APPAREL,0.011,1.76,0.1
1913,BEVERAGES  , BASICS,0.011,5.176,0.06
1914,CHEMICALS  , SOUPS,0.011,22,0.25
1915,CEREAL  , OIL,0.022,5.866,0.2
1916,LIQUOR  , RICE/BEANS/PASTA,0.011,17.6,1
1917,ETHNIC  , MEATS,0.011,17.6,1
1918,WRAPS  , FRUITS & VEGETABLES,0.011,8.8,0.5
1919,CANNED FISH AND MEAT  , BAKING NUTS,0.011,4.888,0.33
1920,BAKING NUTS  , PET SUPPLIES,0.011,2.095,0.17
1921,ANTACID/LAXATIVE/DIETARY AID  , OIL,0.022,14.666,0.5
1922,KITCHEN MISC.  , PRODUCE,0.011,1.571,0.5
1923,FRUIT SNACKS  , BAKING NUTS,0.011,4.888,0.33
1924,COFFEE/SWEETENERS  , PERSONAL WASH,0.011,44,1
1925,BULK GOOD CANDY  , BAKING NUTS,0.022,9.777,0.67
1926,MINTS/GUM  , PRODUCE,0.011,3.142,1
1927,MEAT  , FRUIT & VEGETABLES,0.022,6.518,0.67
1928,BAKING NUTS  , FRUIT SNACKS,0.011,4.888,0.17
1929,FIRST AID  , SALTY SNACKS,0.011,14.666,1
1930,CHEESE  , CANNED FISH AND MEAT,0.011,4.19,0.14
1931,FRUIT & VEGETABLES  , DRINK MIXES,0.022,4.888,0.22
1932,BEER  , FOAM/PLASTIC/CATERING,0.011,11,0.5
1933,HAIR CARE  , BBS,0.034,4.125,0.75
1934,SPREADS/SYRUP/HONEY  , BASICS,0.011,22,0.25
1935,PRODUCE  , SAUCES,0.011,1.571,0.04
1936,FRUIT SNACKS  , PRODUCE,0.034,3.142,1
1937,PERSONAL WASH  , CHEMICALS,0.011,11,0.5
1938,ORAL CARE  , ALL HANGING APPAREL,0.011,4.4,0.25
1939,PREPARED FOODS  , ANTACID/LAXATIVE/DIETARY AID,0.011,11,0.5
1940,ALL SEASONAL SUNDRIES ITEMS  , ETHNIC,0.011,44,1
1941,FRUIT SNACKS  , SALTY SNACKS,0.022,9.777,0.67
1942,FRUITS & VEGETABLES  , SAUCES,0.011,8.8,0.2
1943,PRODUCE  , DIAPERS,0.022,3.142,0.07
1944,VITAMIN/SUPPLEMENTS  , OUTDOOR WIRELESS & PLUG-IN,0.011,22,0.25
1945,BEVERAGES  , RICE/BEANS/PASTA,0.022,2.07,0.12
1946,SPICES  , LIQUOR,0.011,44,0.5
1947,CHEESE  , BARS,0.011,4.19,0.14
1948,CONDIMENTS  , BEVERAGES,0.022,2.07,0.4
1949,PREPARED  , SPREADS/SYRUP/HONEY,0.011,5.5,0.25
1950,DESSERTS  , FRUIT & VEGETABLES,0.011,9.777,1
1951,RICE/BEANS/PASTA  , SPICES,0.011,8.8,0.2
1952,ANTACID/LAXATIVE/DIETARY AID  , PRODUCE,0.022,1.571,0.5
1953,FRUIT & VEGETABLES  , ETHNIC,0.011,9.777,0.11
1954,FRUITS & VEGETABLES  , ALL HANGING APPAREL,0.011,3.52,0.2
1955,DISH DETERGENTS & SUPPLIES  , PAPER PRODUCTS,0.022,5.5,0.5
1956,PET SUPPLIES  , WRAPS,0.011,6.285,0.14
1957,BARS  , DAIRY PRODUCTS,0.011,1.128,0.33
1958,SALTY SNACKS  , MEATS,0.022,5.866,0.33
1959,FINE WINE  , FLOOR WINES,0.022,19.555,0.67
1960,PRODUCE  , ETHNIC,0.011,3.142,0.04
1961,PASTA & SAUCES  , PRODUCE,0.022,3.142,1
1962,SALTY SNACKS  , BODY MOISTURIZERS,0.011,14.666,0.17
1963,PERSONAL WASH  , SALES,0.011,4.888,0.5
1964,COFFEE/SWEETENERS  , HAIR CARE,0.011,22,1
1965,CHEESE  , DESSERTS,0.011,12.571,0.14
1966,WRAPS  , ANTACID/LAXATIVE/DIETARY AID,0.011,11,0.5
1967,PREPARED  , PASTA & SAUCES,0.011,11,0.25
1968,MEAT - PROTEIN  , PREPARED FOODS,0.011,11,0.25
1969,DAIRY PRODUCTS  , CEREAL,0.102,3.046,0.35
1970,DISH DETERGENTS & SUPPLIES  , CONDIMENTS,0.011,4.4,0.25
1971,SAUCES  , PAPER PRODUCTS,0.011,5.5,0.5
1972,CHEMICALS  , ORAL CARE,0.011,5.5,0.25
1973,CEREAL  , SOUPS,0.011,8.8,0.1
1974,BEVERAGES  , BARS,0.034,5.176,0.18
1975,ANTACID/LAXATIVE/DIETARY AID  , FRUIT & VEGETABLES,0.022,4.888,0.5
1976,VITAMIN/SUPPLEMENTS  , FOAM/PLASTIC/CATERING,0.011,5.5,0.25
1977,PERSONAL WASH  , PERSONAL WASH,0.022,44,1
1978,MEATS  , ORAL CARE,0.011,5.5,0.25
1979,HAIR CARE  , MEATS,0.011,4.4,0.25
1980,BAGS  , CONDIMENTS,0.011,8.8,0.5
1981,DAIRY PRODUCTS  , MEAT,0.022,2.256,0.08
1982,SPREADS/SYRUP/HONEY  , SALES,0.022,4.888,0.5
1983,VITAMIN/SUPPLEMENTS  , DIET / NUTRITION,0.011,22,0.25
1984,PREPARED FOODS  , PET SUPPLIES,0.011,3.142,0.25
1985,SPICES  , PREPARED,0.011,11,0.5
1986,PET SUPPLIES  , CEREAL,0.045,5.028,0.57
1987,SPICES  , BEVERAGES,0.011,4.4,0.5
1988,SPREADS/SYRUP/HONEY  , CONDIMENTS,0.011,4.4,0.25
1989,MEATS  , CHEESE,0.022,5.028,0.4
1990,CANNED FISH AND MEAT  , MEATS,0.011,7.333,0.33
1991,ANTI-PERS/DEODORANT  , CHEESE,0.011,12.571,1
1992,FINE WINE  , ALL SEASONAL SUNDRIES ITEMS,0.011,29.333,0.33
1993,FRUIT SNACKS  , BEVERAGES,0.034,5.176,1
1994,DIAPERS  , FOAM/PLASTIC/CATERING,0.011,11,0.5
1995,SPAS/POOLS/CHEMICALS  , CEREAL,0.011,8.8,1
1996,PERSONAL WASH  , FOAM/PLASTIC/CATERING,0.011,11,0.5
1997,FINE WINE  , PAPER PRODUCTS,0.011,3.666,0.33
1998,BARS  , DESSERTS,0.011,29.333,0.33
1999,ALL HANGING APPAREL  , BEVERAGES,0.045,4.141,0.8
2000,CHEESE  , DISH DETERGENTS & SUPPLIES,0.011,3.142,0.14
2001,OUTDOOR WIRELESS & PLUG-IN  , VITAMIN/SUPPLEMENTS,0.011,22,1
2002,BEVERAGES  , BAKING NUTS,0.034,4.4,0.3
2003,SALTY SNACKS  , SALTY SNACKS,0.068,14.666,1
2004,FIRST AID  , FIRST AID,0.011,88,1
2005,VEND ITEMS  , PREPARED,0.011,11,0.5
2006,OUTDOOR WIRELESS & PLUG-IN  , FOAM/PLASTIC/CATERING,0.011,22,1
2007,PREPARED FOODS  , BBS,0.022,2.75,0.5
2008,LIQUOR  , BARS,0.011,29.333,1
2009,ANTACID/LAXATIVE/DIETARY AID  , DRINK MIXES,0.022,11,0.5
2010,BAGS  , SALTY SNACKS,0.011,7.333,0.5
2011,BAKERY  , SALTY SNACKS,0.022,3.666,0.25
2012,PRODUCE  , FIRST AID,0.011,3.142,0.04
2013,SOUPS  , FRUITS & VEGETABLES,0.011,17.6,1
2014,PREPARED FOODS  , HAIR CARE,0.011,11,0.5
2015,BEVERAGES  , ALL HANGING APPAREL,0.045,4.141,0.24
2016,BBS  , CEREAL,0.068,3.3,0.38
2017,BAKERY  , FRUIT & VEGETABLES,0.022,2.444,0.25
2018,CEREAL  , TOPICAL APPLICATIONS,0.011,8.8,0.1
2019,BEVERAGES  , CHEMICALS,0.022,2.588,0.12
2020,SALES  , LAUNDRY DETERGENTS & SUPPLIES,0.034,3.666,0.33
2021,RICE/BEANS/PASTA  , OIL,0.022,11.733,0.4
2022,PREPARED FOODS  , SOUPS,0.011,22,0.25
2023,MEATS  , TICKETING,0.011,22,0.25
2024,BODY MOISTURIZERS  , SALTY SNACKS,0.011,14.666,1
2025,JUICES  , MEATS,0.011,8.8,0.5
2026,BAKING NUTS  , ETHNIC,0.011,14.666,0.17
2027,BEVERAGES  , WIPES,0.011,2.933,0.1
2028,DAIRY PRODUCTS  , SPREADS/SYRUP/HONEY,0.045,3.384,0.15
2029,PET SUPPLIES  , ALL SEASONAL SUNDRIES ITEMS,0.011,12.571,0.14
2030,CONDIMENTS  , PREPARED FOODS,0.011,8.8,0.2
